News Outlet,Date of Tweet,Tweets Ago,Text,Positive Score,Neutral Score,Negative Score,Composite Score
@BBCWorld,Sun Jul 29 14:22:58 +0000 2018,29,"RT @BBCSport: Today's the day!

Geraint Thomas is set to make Tour de France history 👏

We're live 👉 https://t.co/ZtkRdPtGio #bbccycling ht…",0.0,1.0,0.0,0.0
@BBCWorld,Sun Jul 29 12:13:59 +0000 2018,30,Surveying the damage in Lombok after a powerful earthquake hit the popular tourist destination in Indonesia… https://t.co/7tNtDeRPPy,0.257,0.596,0.147,0.34
@BBCWorld,Sun Jul 29 12:10:08 +0000 2018,31,Zimbabwe election: Robert Mugabe gives surprise speech on eve of poll https://t.co/Qog0b6oNFY,0.16,0.84,0.0,0.2732
@BBCWorld,Sun Jul 29 11:02:24 +0000 2018,32,"RT @BBCNews: What's the least popular emoji on Twitter? 😢

https://t.co/q003FloumJ https://t.co/mz0fImuUpB",0.0,0.669,0.331,-0.6632
@BBCWorld,Sun Jul 29 09:56:18 +0000 2018,33,"RT @BBCNews: 🐍😱

Woman wakes to find 'escaped' python in her bed 

https://t.co/4dlj1HGnh1 https://t.co/xS8Gs6bXrF",0.0,1.0,0.0,0.0
@BBCWorld,Sun Jul 29 09:55:46 +0000 2018,34,Polar bear shot dead after attacking cruise ship guard https://t.co/EPNLOiO5SM,0.0,0.523,0.477,-0.8074
@BBCWorld,Sun Jul 29 08:08:38 +0000 2018,35,"RT @BBCNews: 📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📗📚📘📙📕📗📖📘📙📕📚

Love books? Are you guilty of tsundoku or bibliomania?
https://t.co/SIgW0d…",0.248,0.599,0.153,0.4137
@BBCWorld,Sun Jul 29 07:35:20 +0000 2018,36,"RT @BBCSport: He's off the mark! 

Wayne Rooney netted his first goal for  DC United as they beat the Colorado Rapids, 2-1 in the #MLS.…",0.114,0.886,0.0,0.4753
@BBCWorld,Sun Jul 29 04:59:57 +0000 2018,37,Ahed Tamimi: Israel frees Palestinian viral slap video teen https://t.co/UtQwZSrCsO,0.322,0.678,0.0,0.4215
@BBCWorld,Sun Jul 29 03:34:16 +0000 2018,38,Indonesia earthquake: 10 dead on tourist island Lombok https://t.co/1dRSUNveOV,0.0,0.65,0.35,-0.6486
@BBCWorld,Sun Jul 29 01:36:18 +0000 2018,39,Slobodan Milosevic: Ex-Serbia leader's war crimes lawyer shot dead https://t.co/o5ew1O1PDX,0.0,0.494,0.506,-0.8481
@BBCWorld,Sun Jul 29 00:57:42 +0000 2018,40,Nicaragua protests: Thousands show support for Catholic Church https://t.co/9oSfaYXdcp,0.233,0.603,0.164,0.2023
@BBCWorld,Sun Jul 29 00:20:09 +0000 2018,41,Why Ethiopia is grieving 'hero' dam engineer Simegnew Bekele https://t.co/ep0o5UtVws,0.0,0.732,0.268,-0.5106
@BBCWorld,Sun Jul 29 00:15:10 +0000 2018,42,Tsundoku: The art of buying books and never reading them https://t.co/QzvCG1eMPd,0.0,1.0,0.0,0.0
@BBCWorld,Sun Jul 29 00:12:41 +0000 2018,43,Slavery memorial highlights Portugal's racism taboo https://t.co/6waRUcjGID,0.0,0.36,0.64,-0.872
@BBCWorld,Sun Jul 29 00:02:33 +0000 2018,44,Migration to Europe in charts https://t.co/lY0JIihLxk,0.0,1.0,0.0,0.0
@BBCWorld,Sat Jul 28 23:44:26 +0000 2018,45,Zimbabwe election: Can post-Mugabe vote heal divisions? https://t.co/LpJ8GB8PSQ,0.0,1.0,0.0,0.0
@BBCWorld,Sat Jul 28 22:37:02 +0000 2018,46,Cambodia votes in poll without main opposition https://t.co/SYvfOcVLhc,0.0,1.0,0.0,0.0
@BBCWorld,Sat Jul 28 21:53:33 +0000 2018,47,Israeli Arab MP resigns over controversial 'nation state' law https://t.co/hCYv2CsKXl,0.0,0.661,0.339,-0.4767
@BBCWorld,Sat Jul 28 21:29:50 +0000 2018,48,Lebanon sinks tanks in Mediterranean to make new reef https://t.co/z0ezFlv320,0.0,1.0,0.0,0.0
@BBCWorld,Sat Jul 28 21:08:55 +0000 2018,49,Carr fire: California blaze kills children and great-grandmother https://t.co/XUCpn6eBbo,0.0,0.543,0.457,-0.7096
@BBCWorld,Sat Jul 28 15:01:31 +0000 2018,50,Egypt court sentences 75 to death over 2013 pro-Morsi protests https://t.co/as9puDBrzP,0.08,0.533,0.387,-0.6808
@BBCWorld,Sat Jul 28 13:56:08 +0000 2018,51,Cardinal McCarrick: Prominent US Catholic resigns over abuse claims https://t.co/kIPoJ7JMXp,0.146,0.443,0.411,-0.6369
@BBCWorld,Sat Jul 28 12:41:08 +0000 2018,52,Nicaraguan leader Daniel Ortega's brother calls on him to end violence https://t.co/V4wnjGeTZQ,0.0,0.728,0.272,-0.6249
@BBCWorld,Sat Jul 28 12:17:00 +0000 2018,53,Pagan outcry over fencing at Jersey tomb site https://t.co/qdrlj1Y6re,0.0,0.708,0.292,-0.5106
@BBCWorld,Sat Jul 28 12:09:48 +0000 2018,54,Russia protests: Thousands rally over plan to raise pension age https://t.co/gmiEMA79Y4,0.0,0.84,0.16,-0.2263
@BBCWorld,Sat Jul 28 11:00:14 +0000 2018,55,"Beautiful #BloodMoon delights (most of) the world 🌝

https://t.co/hPDHvS3WgC https://t.co/VPEb0tBwlg",0.408,0.592,0.0,0.7845
@BBCWorld,Sat Jul 28 10:25:39 +0000 2018,56,Midwife training centre attacked in Afghanistan's Jalalabad https://t.co/FnE8gsxmXN,0.0,0.7,0.3,-0.4588
@BBCWorld,Sat Jul 28 09:23:08 +0000 2018,57,Typhoon Jongdari: Weather-ravaged Japan braces for powerful storm https://t.co/2KvDTzy2Ct,0.259,0.741,0.0,0.4215
@BBCWorld,Sat Jul 28 08:10:21 +0000 2018,58,Carr fire: California blaze leaves two dead https://t.co/rGI9SPZwPI,0.0,0.472,0.528,-0.7717
@BBCWorld,Sat Jul 28 08:08:22 +0000 2018,59,"RT @BBCNewsbeat: The cast for the next Star Wars film has been revealed 👀
https://t.co/W5UrF1o9Yj",0.0,0.795,0.205,-0.5574
@BBCWorld,Sat Jul 28 07:57:06 +0000 2018,60,"Simply stunning!

The longest #BloodMoon eclipse of the 21st Century as seen around the world… https://t.co/FZZHpFC8IX",0.162,0.838,0.0,0.4389
@BBCWorld,Sat Jul 28 00:50:21 +0000 2018,61,"In 1993, the UN tried to bring democracy to Cambodia. Is that dream dead? https://t.co/lSPT2Ry41T",0.104,0.674,0.223,-0.5106
@BBCWorld,Sat Jul 28 00:10:21 +0000 2018,62,Venezuela opposition legislator flees after 'secret police threats' https://t.co/RNssUZv8ZN,0.0,0.609,0.391,-0.5423
@BBCWorld,Fri Jul 27 22:04:18 +0000 2018,63,"After Toronto rampage, does Canada have a gun problem? https://t.co/foulekoIa3",0.0,0.579,0.421,-0.6249
@BBCWorld,Fri Jul 27 21:31:02 +0000 2018,64,In pictures: Blood moon around the world https://t.co/cRQmVNgcfj #LunarEclipse #BloodMoon #EclipseLunar https://t.co/2aAfds6nA6,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 20:26:00 +0000 2018,65,"Joseph Kony - child kidnapper, warlord, 'prophet' https://t.co/WG02Qe2FZM",0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 20:21:01 +0000 2018,66,Les Moonves: CBS investigates report of 'misconduct' https://t.co/FGK1j7p4Mh,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 19:40:48 +0000 2018,67,In pictures: Blood moon around the world https://t.co/DaJQARvotR,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 18:20:26 +0000 2018,68,Pakistan election: Rival parties reject result and call for new poll https://t.co/cAv9WL5Q3N,0.175,0.649,0.175,0.0
@BBCWorld,Fri Jul 27 18:17:35 +0000 2018,69,Killer whale spotted pushing dead calf for two days https://t.co/SKbR50xCp5,0.0,0.482,0.518,-0.8625
@BBCWorld,Fri Jul 27 17:14:49 +0000 2018,70,Trump 'open' to Moscow visit after Putin extends invite https://t.co/rFPeqrubHc,0.279,0.721,0.0,0.2732
@BBCWorld,Fri Jul 27 16:27:42 +0000 2018,71,Is Australia and New Zealand's 'mateship' in trouble? https://t.co/Z6DcoGpEEE,0.0,0.748,0.252,-0.4019
@BBCWorld,Fri Jul 27 16:19:45 +0000 2018,72,Israeli defence minister calls for West Bank settlement expansion https://t.co/f1FX0lUPQm,0.135,0.865,0.0,0.1027
@BBCWorld,Fri Jul 27 15:44:31 +0000 2018,73,Comedian Seth Rogen to voice Vancouver public transit messages https://t.co/kS0jzcDeYN,0.224,0.776,0.0,0.3818
@BBCWorld,Fri Jul 27 14:46:26 +0000 2018,74,Julian Assange: UK and Ecuador in talks on Wikileaks founder's fate https://t.co/k5yS0hBwNj,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 14:38:21 +0000 2018,75,"😳

https://t.co/qYyE9T1Azb",0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 14:35:44 +0000 2018,76,Korea remains: How are human remains identified? https://t.co/866bLHwHbs,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 14:32:53 +0000 2018,77,Irish hosepipe ban to continue https://t.co/F09C7G7HMt,0.0,0.581,0.419,-0.5574
@BBCWorld,Fri Jul 27 14:27:40 +0000 2018,78,Ghana MPs giggle over 'Wise Vagina' village name https://t.co/fl5rYCX4QT,0.457,0.543,0.0,0.7096
@BBCWorld,Fri Jul 27 13:59:11 +0000 2018,79,"""We are the economic envy of the entire world""

Donald Trump celebrates America's fastest quarterly growth for four… https://t.co/YvphCzXja6",0.258,0.656,0.086,0.6369
@BBCWorld,Fri Jul 27 13:49:19 +0000 2018,80,RT @BBCJonSopel: 4.1% GDP growth for last quarter announces @realDonaldTrump - rightly taking a victory lap. Says future is outstanding,0.292,0.708,0.0,0.765
@BBCWorld,Fri Jul 27 13:48:15 +0000 2018,81,"Donald Trump: ""We're going to go a lot higher than these numbers - and these are great numbers""

US President hails… https://t.co/KPbsWQgmOg",0.177,0.823,0.0,0.6249
@BBCWorld,Fri Jul 27 13:42:52 +0000 2018,82,Hun Sen: Cambodia's strongman prime minister https://t.co/dqPWGrNKCH,0.221,0.779,0.0,0.1779
@BBCWorld,Fri Jul 27 13:25:39 +0000 2018,83,"RT @BBC_HaveYourSay: Please send us your pictures of the blood moon tonight. 🌙
Here's how you can get in touch: 
📷 yourpics@bbc.co.uk
📧 hav…",0.087,0.913,0.0,0.3182
@BBCWorld,Fri Jul 27 13:18:35 +0000 2018,84,"Is the news media dividing America? 

https://t.co/gVPOXfTiNV https://t.co/PNFxek62AZ",0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 13:16:28 +0000 2018,85,Juana Rivas: Court jails mother who hid with sons in custody battle https://t.co/g76EYpNasU,0.0,0.733,0.267,-0.4588
@BBCWorld,Fri Jul 27 12:34:23 +0000 2018,86,Greek fires: 'Hearts empty' over death of Irishman https://t.co/g07qyZ8R5T,0.0,0.551,0.449,-0.6908
@BBCWorld,Fri Jul 27 12:21:26 +0000 2018,87,Malcolm Turnbull: Why Australians are up in arms about 'pie-gate' https://t.co/DKruMzag5T,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 12:18:31 +0000 2018,88,Dublin: Horse found in back of van https://t.co/ovNMZcIo7R,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 12:05:10 +0000 2018,89,Motorcyclist killed in three-vehicle TT course crash https://t.co/l9KtiooNrd,0.0,0.455,0.545,-0.802
@BBCWorld,Fri Jul 27 11:28:59 +0000 2018,90,Facebook: Explaining the company's historic share slump https://t.co/Ftgg9DiTM9,0.239,0.761,0.0,0.296
@BBCWorld,Fri Jul 27 11:10:44 +0000 2018,91,Munich replaces pavement Holocaust memorials https://t.co/IYuxzAjr8Z,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 10:02:55 +0000 2018,92,"RT @BBC_HaveYourSay: How were you affected by the 2008 bank crash? 
What direction did your life take? 🧭

Get in touch: 
📱via WhatsApp: +44…",0.0,0.825,0.175,-0.5661
@BBCWorld,Fri Jul 27 09:41:59 +0000 2018,93,LeBron James: NBA star 'regrets' giving son his name https://t.co/5lIbn5oI5a,0.211,0.789,0.0,0.34
@BBCWorld,Fri Jul 27 09:22:34 +0000 2018,94,RT @BBCNewsGraphics: The number of wildfires in Europe is well above average this year - there were 427 blazes between 1 January and 24 Jul…,0.139,0.861,0.0,0.34
@BBCWorld,Fri Jul 27 09:08:04 +0000 2018,95,Poland protests: Thousands rally against court changes https://t.co/Kj6VrhG8KO,0.0,0.787,0.213,-0.2263
@BBCWorld,Fri Jul 27 08:32:49 +0000 2018,96,"RT @BBCAfrica: Is this Africa’s most inventive neighbourbood?
Full story: https://t.co/y8VEhMlung
 #BBCInnovators #SocEnt https://t.co/2vnp…",0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 07:35:26 +0000 2018,97,India woman held for leaving dead infant aboard plane https://t.co/ekIayTzimh,0.082,0.597,0.321,-0.6369
@BBCWorld,Fri Jul 27 07:32:43 +0000 2018,98,Vanuatu: Ambae island evacuated again over volcano eruption https://t.co/oIjp9l2874,0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 07:24:50 +0000 2018,99,"Logan Paul: BBC pulls radio interview 

https://t.co/rlKbHxZVh9",0.0,1.0,0.0,0.0
@BBCWorld,Fri Jul 27 05:12:53 +0000 2018,100,Australian woman guilty of murder in headless torso case https://t.co/pCqcFTmBoR,0.0,0.516,0.484,-0.8176
@CBSNews,Sun Jul 29 17:20:36 +0000 2018,1,"""CASE CLOSED"": After 81 years of mystery, new evidence in Amelia Earheart's disappearance could change everything… https://t.co/UuIGQboYUQ",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 17:16:09 +0000 2018,2,"“This confirms what they believed that he was going to do, in that they don't like these sort of multi-national dea… https://t.co/b5dYIprF4y",0.0,0.909,0.091,-0.2755
@CBSNews,Sun Jul 29 17:00:45 +0000 2018,3,"White House economic adviser Larry Kudlow says trade negotiations with the European Union are set to begin ""immedia… https://t.co/IeNhRblp4s",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 16:46:02 +0000 2018,4,"""This isn't part of conservative orthodoxy, but what you see there is that a lot of folks aren't really very ideolo… https://t.co/5XaHCiBaRk",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 16:42:13 +0000 2018,5,"""One of the things we pollsters have been watching over the last few years is how much partisan ratings play into w… https://t.co/U9fzIGMdof",0.098,0.902,0.0,0.34
@CBSNews,Sun Jul 29 16:40:47 +0000 2018,6,"Amid ongoing concern over continued efforts by Russian hackers to infiltrate U.S. election systems, @SenatorShaheen… https://t.co/lV5CszYWFN",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 16:25:29 +0000 2018,7,"On @FaceTheNation, @margbrennan asks Sen. Ron Johnson (R-WI) to expand on his statement that the response to retali… https://t.co/DxRRpb3VTK",0.113,0.887,0.0,0.3182
@CBSNews,Sun Jul 29 16:07:15 +0000 2018,8,"Sen. Ron Johnson (R-WI) is impressed with the GDP's growth during the Trump administration, but told @FaceTheNation… https://t.co/Ad99beHNZe",0.194,0.806,0.0,0.431
@CBSNews,Sun Jul 29 16:00:02 +0000 2018,9,"President Trump's attorney Rudy Giuliani says that federal investigators have 183 ""unique conversations"" recorded b… https://t.co/PBdpQN2m1P",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 15:46:27 +0000 2018,10,.@margbrennan: Should the president go ahead with sanctions on Turkey which he called for this week?… https://t.co/KhJwzRcvUC,0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 15:44:31 +0000 2018,11,"""I was disappointed that he refused to address directly any of the specific questions about what happened in Helsin… https://t.co/F02BDqyAPH",0.0,0.773,0.227,-0.6486
@CBSNews,Sun Jul 29 15:36:11 +0000 2018,12,"""A key point here is that all of a sudden the Chinese are being isolated. China by the way asked the EU to do a tra… https://t.co/RnwHiXLh5V",0.0,0.913,0.087,-0.3182
@CBSNews,Sun Jul 29 15:25:00 +0000 2018,13,"""We know of something like 183 unique conversations on tape. One of those the president of the United States, three… https://t.co/6yJETkJ6Sk",0.218,0.782,0.0,0.6486
@CBSNews,Sun Jul 29 15:20:56 +0000 2018,14,"""I don't see how you can believe Michael Cohen, he's also the guy that taped [President Trump] without telling him.… https://t.co/Pri6YdMvwE",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 15:16:29 +0000 2018,15,"""First of all, obstruction by tweet is not something that I think works real well. Generally obstruction is secret,… https://t.co/1OGlu2z27L",0.104,0.896,0.0,0.2732
@CBSNews,Sun Jul 29 15:12:30 +0000 2018,16,"@CBSNews Rudy Giuliani says he hopes to resolve possible Mueller interview by ""maybe this week"" https://t.co/npAOFbOpU7",0.278,0.722,0.0,0.6597
@CBSNews,Sun Jul 29 15:07:47 +0000 2018,17,"If President Trump meets with special counsel Robert Mueller, Rudy Giuliani tells @FaceTheNation the area of questi… https://t.co/iPFM00kTJM",0.137,0.863,0.0,0.4019
@CBSNews,Sun Jul 29 14:56:43 +0000 2018,18,"""We have negotiations going on,"" President Trump's personal lawyer Rudy Giuliani says on @FaceTheNation about Trump… https://t.co/6h02EmPj2Y",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 14:49:33 +0000 2018,19,"President Trump tweeted about a ""very good and interesting meeting"" he says he had at the White House with the publ… https://t.co/B1Wp6MdIDc",0.245,0.755,0.0,0.7316
@CBSNews,Sun Jul 29 14:43:57 +0000 2018,20,"Half of Americans say President Trump is doing a good job on the economy, but his trade policies in particular do n… https://t.co/YcAXiLy5es",0.085,0.915,0.0,0.2382
@CBSNews,Sun Jul 29 17:20:36 +0000 2018,21,"""CASE CLOSED"": After 81 years of mystery, new evidence in Amelia Earheart's disappearance could change everything… https://t.co/UuIGQboYUQ",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 17:16:09 +0000 2018,22,"“This confirms what they believed that he was going to do, in that they don't like these sort of multi-national dea… https://t.co/b5dYIprF4y",0.0,0.909,0.091,-0.2755
@CBSNews,Sun Jul 29 17:00:45 +0000 2018,23,"White House economic adviser Larry Kudlow says trade negotiations with the European Union are set to begin ""immedia… https://t.co/IeNhRblp4s",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 16:46:02 +0000 2018,24,"""This isn't part of conservative orthodoxy, but what you see there is that a lot of folks aren't really very ideolo… https://t.co/5XaHCiBaRk",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 16:42:13 +0000 2018,25,"""One of the things we pollsters have been watching over the last few years is how much partisan ratings play into w… https://t.co/U9fzIGMdof",0.098,0.902,0.0,0.34
@CBSNews,Sun Jul 29 16:40:47 +0000 2018,26,"Amid ongoing concern over continued efforts by Russian hackers to infiltrate U.S. election systems, @SenatorShaheen… https://t.co/lV5CszYWFN",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 16:25:29 +0000 2018,27,"On @FaceTheNation, @margbrennan asks Sen. Ron Johnson (R-WI) to expand on his statement that the response to retali… https://t.co/DxRRpb3VTK",0.113,0.887,0.0,0.3182
@CBSNews,Sun Jul 29 16:07:15 +0000 2018,28,"Sen. Ron Johnson (R-WI) is impressed with the GDP's growth during the Trump administration, but told @FaceTheNation… https://t.co/Ad99beHNZe",0.194,0.806,0.0,0.431
@CBSNews,Sun Jul 29 16:00:02 +0000 2018,29,"President Trump's attorney Rudy Giuliani says that federal investigators have 183 ""unique conversations"" recorded b… https://t.co/PBdpQN2m1P",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 15:46:27 +0000 2018,30,.@margbrennan: Should the president go ahead with sanctions on Turkey which he called for this week?… https://t.co/KhJwzRcvUC,0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 15:44:31 +0000 2018,31,"""I was disappointed that he refused to address directly any of the specific questions about what happened in Helsin… https://t.co/F02BDqyAPH",0.0,0.773,0.227,-0.6486
@CBSNews,Sun Jul 29 15:36:11 +0000 2018,32,"""A key point here is that all of a sudden the Chinese are being isolated. China by the way asked the EU to do a tra… https://t.co/RnwHiXLh5V",0.0,0.913,0.087,-0.3182
@CBSNews,Sun Jul 29 15:25:00 +0000 2018,33,"""We know of something like 183 unique conversations on tape. One of those the president of the United States, three… https://t.co/6yJETkJ6Sk",0.218,0.782,0.0,0.6486
@CBSNews,Sun Jul 29 15:20:56 +0000 2018,34,"""I don't see how you can believe Michael Cohen, he's also the guy that taped [President Trump] without telling him.… https://t.co/Pri6YdMvwE",0.0,1.0,0.0,0.0
@CBSNews,Sun Jul 29 15:16:29 +0000 2018,35,"""First of all, obstruction by tweet is not something that I think works real well. Generally obstruction is secret,… https://t.co/1OGlu2z27L",0.104,0.896,0.0,0.2732
@CBSNews,Sun Jul 29 15:12:30 +0000 2018,36,"@CBSNews Rudy Giuliani says he hopes to resolve possible Mueller interview by ""maybe this week"" https://t.co/npAOFbOpU7",0.278,0.722,0.0,0.6597
@CBSNews,Sun Jul 29 15:07:47 +0000 2018,37,"If President Trump meets with special counsel Robert Mueller, Rudy Giuliani tells @FaceTheNation the area of questi… https://t.co/iPFM00kTJM",0.137,0.863,0.0,0.4019
@CBSNews,Sun Jul 29 14:56:43 +0000 2018,38,"""We have negotiations going on,"" President Trump's personal lawyer Rudy Giuliani says on @FaceTheNation about Trump… https://t.co/6h02EmPj2Y",0.0,1.0,0.0,0.0
